OBJECTID,Address,Place_Type,long,lat
2715,1761 Quimby Rd,MH,-121.819464,37.328212
2723,1761 S Capitol Ave,SF,-121.819249,37.342099
2724,1761 Terilyn Ave,SF,-121.839591,37.32869
2759,1762 Everglade Ave,SF,-121.838132,37.337527
2802,1762 Hillmont Ave,SF,-121.815387,37.343942
2803,1762 Home Gate Dr,SF,-121.819378,37.34053
2805,1762 June Ave,SF,-121.837274,37.329952
2806,1762 Kyra Cir,SF,-121.81543,37.313707
2808,1762 La Porte Ave,SF,-121.834398,37.333876
2809,1762 Leeward Dr,SF,-121.821652,37.340564
2817,1762 Quimby Rd,MH,-121.819335,37.328314
2856,1762 Terilyn Ave,SF,-121.839162,37.328928
2872,1763 Bermuda Way,SF,-121.833883,37.332477
2873,1763 Biscayne Way,SF,-121.835943,37.335378
2907,1763 Hillmont Ave,SF,-121.815773,37.343635
2909,1763 Kyra Cir,SF,-121.81573,37.313946
2910,1763 La Porte Ave,SF,-121.834742,37.334252
2923,1763 Quimby Rd,MH,-121.819163,37.328382
2940,1764 Barberry Ln,SF,-121.815601,37.314356
2942,1764 Biscayne Way,SF,-121.835514,37.335037
2949,1764 Cathay Dr,SF,-121.830364,37.335344
2972,1764 Home Gate Dr,SF,-121.819335,37.340462
2979,1764 Midfield Ave,SF,-121.839763,37.328417
2982,1764 Mt Kenya Dr,SF,-121.799122,37.351243
2984,1764 Orlando Dr,SF,-121.834141,37.332307
2990,1764 Quimby Rd,MH,-121.819035,37.328485
2993,1764 Seaview Dr,SF,-121.833797,37.333296
2994,1764 Sundown Ln,SF,-121.813756,37.343464
3003,1764 Woodridge Way,SF,-121.81131,37.345409
3016,1765 Cathay Dr,SF,-121.830665,37.335002
3048,1765 Lido Way,MF,-121.843582,37.342475
3058,1765 Orlando Dr,SF,-121.834527,37.331965
3061,1765 Quimby Rd,MH,-121.818906,37.328553
3066,1765 Seaview Dr,SF,-121.834184,37.333672
3067,1765 S White Rd,SF,-121.810022,37.345682
3137,1766 Home Gate Dr,SF,-121.819292,37.340393
3143,1766 Karl St,SF,-121.826802,37.337527
3156,1766 Quimby Rd,MH,-121.818777,37.328655
3161,1766 S King Rd,SF,-121.834827,37.331829
3184,1767 Chaucer Dr,SF,-121.844483,37.34343
3195,1767 Foley Ave,SF,-121.838432,37.329201
3203,1767 Leeward Dr,SF,-121.822082,37.340257
3204,1767 Lido Way,MF,-121.843625,37.342441
3212,1767 Monrovia Dr,SF,-121.815344,37.313468
3213,1767 Mt Rushmore Dr,SF,-121.803156,37.349298
3217,1767 Quimby Rd,MH,-121.819035,37.328894
3218,1767 Rigoletto Dr,SF,-121.821524,37.319543
3222,1767 S King Rd,SF,-121.835257,37.331351
3223,1767 Tampa Way,SF,-121.835943,37.330908
3251,1768 Cortez Ave,SF,-121.838947,37.337971
3254,1768 Darwin Way,SF,-121.833111,37.332819
3263,1768 Home Gate Dr,SF,-121.819249,37.340325
3265,1768 Kyra Cir,SF,-121.815344,37.313775
3266,1768 Leeward Dr,SF,-121.821567,37.340428
3274,1768 Parkdale Way,SF,-121.810537,37.345784
3278,1768 Quimby Rd,MH,-121.819163,37.328792
3292,1768 S Capitol Ave,SF,-121.819378,37.342543
3294,1768 Tampa Way,SF,-121.835514,37.331181
3307,1769 Adrian Way,SF,-121.82603,37.33722
3321,1769 Crucero Dr,MF,-121.843153,37.327529
3324,1769 Darwin Way,SF,-121.833454,37.333194
3335,1769 Everglade Ave,SF,-121.838389,37.337937
3340,1769 Hopkins Dr,SF,-121.829892,37.335309
3344,1769 Kyra Cir,SF,-121.815644,37.314048
3346,1769 Lido Way,MF,-121.843625,37.342407
3369,1769 Parkdale Way,SF,-121.810966,37.345545
3373,1769 Quimby Rd,MH,-121.819292,37.328724
